Customer ID,Customer Status,Churn Category,Churn Reason
0002-ORFBO,Stayed,None,None
0003-MKNFE,Stayed,None,None
0004-TLHLJ,Churned,Competitor,Competitor had better devices
0011-IGKFF,Churned,Dissatisfaction,Product dissatisfaction
0013-EXCHZ,Churned,Dissatisfaction,Network reliability
0013-MHZWF,Stayed,None,None
0013-SMEOE,Stayed,None,None
0014-BMAQU,Stayed,None,None
0015-UOCOJ,Stayed,None,None
0016-QLJIS,Stayed,None,None
0017-DINOC,Stayed,None,None
0017-IUDMW,Stayed,None,None
0018-NYROU,Stayed,None,None
0019-EFAEP,Stayed,None,None
0019-GFNTW,Stayed,None,None
0020-INWCK,Stayed,None,None
0020-JDNXP,Stayed,None,None
0021-IKXGC,Joined,None,None
0022-TCJCI,Churned,Dissatisfaction,Limited range of services
0023-HGHWL,Churned,Competitor,Competitor made better offer
0023-UYUPN,Stayed,None,None
0023-XUOPT,Churned,Other,Don't know
0027-KWYKW,Stayed,None,None
0030-FNXPP,Joined,None,None
0031-PVLZI,Churned,Price,Long distance charges
0032-PGELS,Churned,Attitude,Attitude of service provider
0036-IHMOT,Stayed,None,None
0040-HALCW,Stayed,None,None
0042-JVWOJ,Stayed,None,None
0042-RLHYP,Stayed,None,None
0048-LUMLS,Stayed,None,None
0048-PIHNL,Stayed,None,None
0052-DCKON,Stayed,None,None
0052-YNYOT,Stayed,None,None
0056-EPFBG,Stayed,None,None
0057-QBUQH,Stayed,None,None
0058-EVZWM,Stayed,None,None
0060-FUALY,Stayed,None,None
0064-SUDOG,Stayed,None,None
0064-YIJGF,Stayed,None,None
0067-DKWBL,Churned,Competitor,Competitor made better offer
0068-FIGTF,Stayed,None,None
0071-NDAFP,Stayed,None,None
0074-HDKDG,Stayed,None,None
0076-LVEPS,Stayed,None,None
0078-XZMHT,Stayed,None,None
0080-EMYVY,Stayed,None,None
0080-OROZO,Stayed,None,None
0082-LDZUE,Joined,None,None
0082-OQIQY,Stayed,None,None
0083-PIVIK,Stayed,None,None
0089-IIQKO,Stayed,None,None
0093-EXYQL,Stayed,None,None
0093-XWZFY,Churned,Competitor,Competitor had better devices
0094-OIFMO,Churned,Dissatisfaction,Product dissatisfaction
0096-BXERS,Stayed,None,None
0096-FCPUF,Stayed,None,None
0098-BOWSO,Stayed,None,None
0100-DUVFC,Stayed,None,None
0103-CSITQ,Stayed,None,None
0104-PPXDV,Stayed,None,None
0106-GHRQR,Stayed,None,None
0106-UGRDO,Stayed,None,None
0107-WESLM,Churned,Attitude,Attitude of support person
0107-YHINA,Churned,Competitor,Competitor had better devices
0111-KLBQG,Stayed,None,None
0112-QAWRZ,Stayed,None,None
0112-QWPNC,Churned,Competitor,Competitor offered higher download speeds
0114-IGABW,Stayed,None,None
0114-PEGZZ,Stayed,None,None
0114-RSRRW,Stayed,None,None
0115-TFERT,Churned,Attitude,Attitude of service provider
0117-LFRMW,Churned,Competitor,Competitor offered more data
0118-JPNOY,Stayed,None,None
0121-SNYRK,Stayed,None,None
0122-OAHPZ,Churned,Competitor,Competitor made better offer
0123-CRBRT,Stayed,None,None
0125-LZQXK,Churned,Attitude,Attitude of service provider
0128-MKWSG,Stayed,None,None
0129-KPTWJ,Stayed,None,None
0129-QMPDR,Stayed,None,None
0130-SXOUN,Stayed,None,None
0133-BMFZO,Churned,Competitor,Competitor offered higher download speeds
0134-XWXCE,Stayed,None,None
0135-NMXAP,Churned,Attitude,Attitude of support person
0136-IFMYD,Stayed,None,None
0137-OCGAB,Churned,Price,Lack of affordable download/upload speed
0137-UDEUO,Churned,Price,Long distance charges
0139-IVFJG,Joined,None,None
0141-YEAYS,Stayed,None,None
0142-GVYSN,Stayed,None,None
0147-ESWWR,Stayed,None,None
0148-DCDOS,Churned,Competitor,Competitor had better devices
0151-ONTOV,Churned,Competitor,Competitor had better devices
0156-FVPTA,Churned,Attitude,Attitude of service provider
0164-APGRB,Stayed,None,None
0164-XAIRP,Stayed,None,None
0168-XZKBB,Stayed,None,None
0174-QRVVY,Stayed,None,None
0177-PXBAT,Stayed,None,None
0178-CIIKR,Joined,None,None
0178-SZBHO,Stayed,None,None
0181-RITDD,Stayed,None,None
0186-CAERR,Stayed,None,None
0187-QSXOE,Stayed,None,None
0187-WZNAB,Stayed,None,None
0188-GWFLE,Joined,None,None
0191-EQUUH,Stayed,None,None
0191-ZHSKZ,Stayed,None,None
0193-ESZXP,Churned,Attitude,Attitude of support person
0195-IESCP,Churned,Competitor,Competitor offered more data
0196-JTUQI,Stayed,None,None
0196-VULGZ,Churned,Other,Deceased
0197-PNKNK,Stayed,None,None
0201-MIBOL,Stayed,None,None
0201-OAMXR,Churned,Dissatisfaction,Network reliability
0203-HHYIJ,Churned,Price,Long distance charges
0206-OYVOC,Stayed,None,None
0206-TBWLC,Stayed,None,None
0207-MDKNV,Churned,Competitor,Competitor made better offer
0208-BPQEJ,Stayed,None,None
0212-ISBBF,Stayed,None,None
0214-JHPFW,Stayed,None,None
0215-BQKGS,Stayed,None,None
0218-QNVAS,Stayed,None,None
0219-QAERP,Stayed,None,None
0219-YTZUE,Churned,Competitor,Competitor made better offer
0220-EBGCE,Churned,Competitor,Competitor made better offer
0221-NAUXK,Stayed,None,None
0221-WMXNQ,Stayed,None,None
0222-CNVPT,Stayed,None,None
0224-HJAPT,Churned,Competitor,Competitor made better offer
0224-NIJLP,Stayed,None,None
0224-RLWWD,Joined,None,None
0225-ZORZP,Joined,None,None
0228-MAUWC,Stayed,None,None
0229-LFJAF,Stayed,None,None
0230-UBYPQ,Stayed,None,None
0230-WEQUW,Stayed,None,None
0231-LXVAP,Churned,Competitor,Competitor made better offer
0233-FTHAV,Stayed,None,None
0234-TEVTT,Stayed,None,None
0235-KGSLC,Churned,Other,Moved
0236-HFWSV,Churned,Competitor,Competitor had better devices
0237-YFUTL,Stayed,None,None
0238-WHBIQ,Stayed,None,None
0239-OXEXL,Stayed,None,None
0244-LGNFY,Stayed,None,None
0247-SLUJI,Joined,None,None
0248-IPDFW,Joined,None,None
0248-PGHBZ,Stayed,None,None
0253-ZTEOB,Stayed,None,None
0254-FNMCI,Stayed,None,None
0254-KCJGT,Stayed,None,None
0254-WWRKD,Stayed,None,None
0256-LTHVJ,Churned,Competitor,Competitor had better devices
0257-KXZGU,Stayed,None,None
0257-ZESQC,Churned,Attitude,Attitude of support person
0258-NOKBL,Joined,None,None
0259-GBZSH,Churned,Competitor,Competitor made better offer
0260-ZDLGK,Churned,Competitor,Competitor made better offer
0263-FJTQO,Stayed,None,None
0264-CNITK,Stayed,None,None
0265-EDXBD,Churned,Attitude,Attitude of support person
0265-PSUAE,Stayed,None,None
0266-CLZKZ,Stayed,None,None
0266-GMEAO,Stayed,None,None
0268-QKIWO,Churned,Attitude,Attitude of support person
0269-XFESX,Stayed,None,None
0270-THENM,Stayed,None,None
0274-JKUJR,Stayed,None,None
0277-BKSQP,Stayed,None,None
0277-ORXQS,Stayed,None,None
0278-YXOOG,Churned,Attitude,Attitude of support person
0280-XJGEX,Churned,Competitor,Competitor had better devices
0281-CNTZX,Stayed,None,None
0282-NVSJS,Stayed,None,None
0285-INHLN,Stayed,None,None
0289-IVARM,Stayed,None,None
0292-WEGCH,Stayed,None,None
0295-PPHDO,Churned,Competitor,Competitor had better devices
0295-QVKPB,Stayed,None,None
0297-RBCSG,Stayed,None,None
0298-XACET,Stayed,None,None
0301-FIDRB,Stayed,None,None
0301-KOBTQ,Stayed,None,None
0302-JOIVN,Churned,Competitor,Competitor made better offer
0303-UNCIP,Stayed,None,None
0303-WMMRN,Stayed,None,None
0305-SQECB,Stayed,None,None
0306-JAELE,Churned,Competitor,Competitor made better offer
0307-BCOPK,Stayed,None,None
0308-GIQJT,Stayed,None,None
0308-IVGOK,Stayed,None,None
0310-MVLET,Churned,Dissatisfaction,Service dissatisfaction
0310-SUCIN,Stayed,None,None
0310-VQXAM,Stayed,None,None
0311-QYWSS,Stayed,None,None
0311-UNPFF,Churned,Dissatisfaction,Service dissatisfaction
0314-TKOSI,Stayed,None,None
0315-LVCRK,Stayed,None,None
0318-QUUOB,Churned,Competitor,Competitor had better devices
0318-ZOPWS,Stayed,None,None
0319-QZTCO,Joined,None,None
0320-DWVTU,Stayed,None,None
0320-JDNQG,Churned,Other,Don't know
0322-CHQRU,Churned,Competitor,Competitor had better devices
0322-YINQP,Churned,Attitude,Attitude of support person
0323-XWWTN,Joined,None,None
0324-BRPCJ,Churned,Competitor,Competitor offered more data
0325-XBFAC,Churned,Competitor,Competitor offered more data
0326-VDYXE,Stayed,None,None
0327-WFZSY,Stayed,None,None
0328-GRPMV,Churned,Competitor,Competitor had better devices
0329-GTIAJ,Churned,Price,Price too high
0330-BGYZE,Stayed,None,None
0330-IVZHA,Churned,Attitude,Attitude of service provider
0334-GDDSO,Churned,Competitor,Competitor made better offer
0334-ZFJSR,Stayed,None,None
0336-KXKFK,Stayed,None,None
0336-PIKEI,Stayed,None,None
0337-CNPZE,Churned,Price,Price too high
0343-QLUZP,Stayed,None,None
0345-HKJVM,Churned,Other,Don't know
0345-XMMUG,Stayed,None,None
0347-UBKUZ,Stayed,None,None
0348-SDKOL,Churned,Competitor,Competitor made better offer
0354-VXMJC,Stayed,None,None
0354-WYROK,Churned,Other,Don't know
0356-ERHVT,Stayed,None,None
0356-OBMAC,Stayed,None,None
0357-NVCRI,Stayed,None,None
0361-HJRDX,Stayed,None,None
0362-RAOQO,Stayed,None,None
0362-ZBZWJ,Churned,Attitude,Attitude of service provider
0363-QJVFX,Churned,Attitude,Attitude of service provider
0363-SVHYR,Stayed,None,None
0365-BZUWY,Stayed,None,None
0365-GXEZS,Stayed,None,None
0365-TRTPY,Stayed,None,None
0366-NQSHS,Joined,None,None
0369-ZGOVK,Stayed,None,None
0373-AIVNJ,Stayed,None,None
0374-AACSZ,Joined,None,None
0374-FIUCA,Stayed,None,None
0374-IOEGQ,Joined,None,None
0375-HVGXO,Churned,Other,Don't know
0376-OIWME,Stayed,None,None
0376-YMCJC,Churned,Competitor,Competitor offered higher download speeds
0377-JBKKT,Stayed,None,None
0378-CJKPV,Stayed,None,None
0378-NHQXU,Churned,Other,Deceased
0378-TOVMS,Churned,Competitor,Competitor had better devices
0378-XSZPU,Churned,Dissatisfaction,Network reliability
0379-DJQHR,Stayed,None,None
0380-NEAVX,Stayed,None,None
0380-ZCSBI,Stayed,None,None
0383-CLDDA,Stayed,None,None
0384-LPITE,Stayed,None,None
0384-RVBPI,Stayed,None,None
0386-CWRGM,Stayed,None,None
0388-EOPEX,Churned,Attitude,Attitude of support person
0390-DCFDQ,Churned,Other,Don't know
0392-BZIUW,Stayed,None,None
0394-YONDK,Stayed,None,None
0396-HUJBP,Joined,None,None
0396-UKGAI,Stayed,None,None
0396-YCHWO,Stayed,None,None
0397-GZBBC,Churned,Price,Price too high
0397-ZXWQF,Stayed,None,None
0401-WDBXM,Stayed,None,None
0402-CQAJN,Churned,Dissatisfaction,Lack of self-service on Website
0402-OAMEN,Stayed,None,None
0404-AHASP,Stayed,None,None
0404-SWRVG,Churned,Dissatisfaction,Product dissatisfaction
0406-BPDVR,Churned,Price,Lack of affordable download/upload speed
0407-BDJKB,Churned,Dissatisfaction,Service dissatisfaction
0409-WTMPL,Stayed,None,None
0410-IPFTY,Stayed,None,None
0411-EZJZE,Joined,None,None
0412-UCCNP,Stayed,None,None
0415-MOSGF,Churned,Attitude,Attitude of support person
0419-YAAPX,Stayed,None,None
0420-BWTPW,Churned,Attitude,Attitude of support person
0420-HLGXF,Stayed,None,None
0420-TXVSG,Stayed,None,None
0422-OHQHQ,Stayed,None,None
0422-UXFAP,Stayed,None,None
0423-UDIJQ,Stayed,None,None
0426-TIRNE,Churned,Dissatisfaction,Limited range of services
0428-AXXLJ,Stayed,None,None
0428-IKYCP,Stayed,None,None
0430-IHCDJ,Stayed,None,None
0431-APWVY,Churned,Dissatisfaction,Poor expertise of online support
0432-CAJZV,Joined,None,None
0434-CSFON,Stayed,None,None
0436-TWFFZ,Stayed,None,None
0439-IFYUN,Stayed,None,None
0440-EKDCF,Stayed,None,None
0440-MOGPM,Stayed,None,None
0440-QEXBZ,Stayed,None,None
0440-UEDAI,Stayed,None,None
0442-TDYUO,Stayed,None,None
0442-ZXKVS,Stayed,None,None
0447-BEMNG,Churned,Price,Price too high
0447-RXSGD,Stayed,None,None
0454-OKRCT,Stayed,None,None
0455-ENTCR,Stayed,None,None
0455-XFASS,Joined,None,None
0458-HEUZG,Stayed,None,None
