Customer ID,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data
0002-ORFBO,None,Yes,42.39,No,Yes,Cable,16,No,Yes,No,Yes,Yes,No,No,Yes
0003-MKNFE,None,Yes,10.69,Yes,Yes,Cable,10,No,No,No,No,No,Yes,Yes,No
0004-TLHLJ,Offer E,Yes,33.65,No,Yes,Fiber Optic,30,No,No,Yes,No,No,No,No,Yes
0011-IGKFF,Offer D,Yes,27.82,No,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,Yes,No,Yes
0013-EXCHZ,None,Yes,7.38,No,Yes,Fiber Optic,11,No,No,No,Yes,Yes,No,No,Yes
0013-MHZWF,Offer E,Yes,16.77,No,Yes,Cable,73,No,No,No,Yes,Yes,Yes,Yes,Yes
0013-SMEOE,Offer A,Yes,9.96,No,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0014-BMAQU,Offer B,Yes,12.96,Yes,Yes,Fiber Optic,7,Yes,No,No,Yes,No,No,No,No
0015-UOCOJ,Offer E,Yes,10.53,No,Yes,DSL,21,Yes,No,No,No,No,No,No,Yes
0016-QLJIS,None,Yes,28.46,Yes,Yes,Cable,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0017-DINOC,None,No,0,No Info,Yes,Cable,10,Yes,No,No,Yes,Yes,No,No,Yes
0017-IUDMW,None,Yes,16.01,Yes,Yes,Fiber Optic,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0018-NYROU,None,Yes,18.65,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes
0019-EFAEP,Offer A,Yes,2.25,Yes,Yes,Fiber Optic,16,Yes,Yes,Yes,No,Yes,No,No,Yes
0019-GFNTW,None,No,0,No Info,Yes,DSL,19,Yes,Yes,Yes,Yes,No,No,No,Yes
0020-INWCK,Offer A,Yes,27.26,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,Yes,Yes
0020-JDNXP,None,No,0,No Info,Yes,DSL,20,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
0021-IKXGC,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes
0022-TCJCI,None,Yes,10.67,No,Yes,DSL,17,Yes,No,Yes,No,No,Yes,No,Yes
0023-HGHWL,None,No,0,No Info,Yes,Cable,9,No,No,No,No,No,No,No,Yes
0023-UYUPN,None,Yes,31.43,Yes,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0023-XUOPT,None,Yes,43.56,Yes,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,No,Yes
0027-KWYKW,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,No,No,Yes
0030-FNXPP,None,Yes,3.12,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0031-PVLZI,Offer E,Yes,12.43,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0032-PGELS,None,No,0,No Info,Yes,DSL,19,Yes,No,No,No,No,No,No,Yes
0036-IHMOT,None,Yes,35.04,No,Yes,Fiber Optic,57,No,Yes,Yes,Yes,Yes,Yes,Yes,No
0040-HALCW,None,Yes,19.7,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0042-JVWOJ,Offer C,Yes,37.7,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0042-RLHYP,None,Yes,38.39,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0048-LUMLS,Offer C,Yes,43.01,No,Yes,Fiber Optic,51,No,No,No,No,Yes,Yes,Yes,Yes
0048-PIHNL,Offer B,Yes,49.58,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0052-DCKON,None,Yes,43.77,Yes,Yes,Fiber Optic,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0052-YNYOT,None,Yes,23.12,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0056-EPFBG,None,No,0,No Info,Yes,Cable,22,Yes,No,Yes,Yes,No,No,No,Yes
0057-QBUQH,None,Yes,30.64,Yes,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0058-EVZWM,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9,Yes,No,No,No,Yes,No,No,Yes
0060-FUALY,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14,Yes,Yes,No,No,Yes,No,No,Yes
0064-SUDOG,None,Yes,19.28,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0064-YIJGF,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes
0067-DKWBL,None,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes
0068-FIGTF,Offer C,Yes,48.91,No,Yes,DSL,59,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0071-NDAFP,None,Yes,23.69,Yes,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0074-HDKDG,None,Yes,6.45,No,Yes,Cable,19,Yes,Yes,Yes,No,No,No,No,Yes
0076-LVEPS,None,No,0,No Info,Yes,DSL,21,Yes,Yes,Yes,Yes,No,No,No,Yes
0078-XZMHT,None,Yes,32.36,Yes,Yes,DSL,52,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0080-EMYVY,None,Yes,24.04,No,Yes,Cable,12,No,Yes,No,No,No,No,No,Yes
0080-OROZO,Offer C,Yes,36.42,No,Yes,Fiber Optic,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes
0082-LDZUE,Offer E,Yes,42.95,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes
0082-OQIQY,None,Yes,2.05,No,Yes,Fiber Optic,17,No,No,No,Yes,Yes,Yes,Yes,No
0083-PIVIK,None,Yes,5.49,Yes,Yes,DSL,69,Yes,Yes,Yes,Yes,Yes,No,No,No
0089-IIQKO,None,Yes,24.38,Yes,Yes,Fiber Optic,53,No,No,No,Yes,Yes,Yes,Yes,Yes
0093-EXYQL,None,Yes,44.14,No,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,Yes
0093-XWZFY,None,Yes,37.69,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes
0094-OIFMO,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No
0096-BXERS,Offer E,Yes,42.66,Yes,Yes,Cable,85,No,No,No,No,No,No,No,Yes
0096-FCPUF,None,Yes,2.64,Yes,Yes,DSL,15,Yes,No,No,No,No,Yes,Yes,Yes
0098-BOWSO,None,Yes,20.66,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0100-DUVFC,None,Yes,39.49,Yes,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,Yes,No,Yes
0103-CSITQ,Offer B,Yes,8.01,Yes,Yes,Fiber Optic,73,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0104-PPXDV,None,Yes,18.37,No,Yes,DSL,18,No,No,Yes,No,No,No,No,Yes
0106-GHRQR,None,Yes,25.71,Yes,Yes,DSL,48,No,Yes,Yes,No,No,Yes,Yes,Yes
0106-UGRDO,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0107-WESLM,Offer E,Yes,31.77,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
