Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months
0002-ORFBO,Female,37,Yes,0,Frazier Park,93225,34.827662,-118.999073,2,9
0003-MKNFE,Male,46,No,0,Glendale,91206,34.162515,-118.203869,0,9
0004-TLHLJ,Male,50,No,0,Costa Mesa,92627,33.645672,-117.922613,0,4
0011-IGKFF,Male,78,Yes,0,Martinez,94553,38.014457,-122.115432,1,13
0013-EXCHZ,Female,75,Yes,0,Camarillo,93010,34.227846,-119.079903,3,3
0013-MHZWF,Female,23,No,3,Midpines,95345,37.581496,-119.972762,0,9
0013-SMEOE,Female,67,Yes,0,Lompoc,93437,34.757477,-120.550507,1,71
0014-BMAQU,Male,52,Yes,0,Napa,94558,38.489789,-122.27011,8,63
0015-UOCOJ,Female,68,No,0,Simi Valley,93063,34.296813,-118.685703,0,7
0016-QLJIS,Female,43,Yes,1,Sheridan,95681,38.984756,-121.345074,3,65
0017-DINOC,Male,47,No,0,Rancho Santa Fe,92091,32.99356,-117.207121,0,54
0017-IUDMW,Female,25,Yes,2,Sunnyvale,94086,37.378541,-122.020456,2,72
0018-NYROU,Female,58,Yes,0,Antelope,95843,38.715498,-121.363411,0,5
0019-EFAEP,Female,32,No,0,La Mesa,91942,32.782501,-117.01611,0,72
0019-GFNTW,Female,39,No,0,Los Olivos,93441,34.70434,-120.02609,0,56
0020-INWCK,Female,58,Yes,2,Woodlake,93286,36.464635,-119.094348,9,71
0020-JDNXP,Female,52,Yes,1,Point Reyes Station,94956,38.060264,-122.830646,0,34
0021-IKXGC,Female,72,No,0,San Marcos,92078,33.119028,-117.166036,0,1
0022-TCJCI,Male,79,No,0,Daly City,94015,37.680844,-122.48131,0,45
0023-HGHWL,Male,67,No,0,Morgan Hill,95037,37.161544,-121.649371,0,1
0023-UYUPN,Female,79,Yes,0,Ahwahnee,93601,37.375816,-119.739935,0,50
0023-XUOPT,Female,26,Yes,0,Carnelian Bay,96140,39.227434,-120.091806,1,13
0027-KWYKW,Female,30,Yes,2,Alpaugh,93201,35.869626,-119.498771,1,23
0030-FNXPP,Female,22,No,0,Keeler,93530,36.560498,-117.962461,0,3
0031-PVLZI,Female,34,Yes,0,Korbel,95550,40.7666,-123.80458,0,4
0032-PGELS,Female,37,Yes,1,Palomar Mountain,92060,33.309852,-116.823091,1,1
0036-IHMOT,Female,37,Yes,3,Parlier,93648,36.622237,-119.521126,10,55
0040-HALCW,Male,42,Yes,3,Modesto,95358,37.612612,-121.108568,3,54
0042-JVWOJ,Male,64,No,0,Glen Ellen,95442,38.368744,-122.522642,0,26
0042-RLHYP,Female,47,Yes,3,Eureka,95503,40.737431,-124.108897,5,69
0048-LUMLS,Male,23,Yes,3,Moss Beach,94038,37.515556,-122.502311,1,37
0048-PIHNL,Female,48,Yes,0,Los Angeles,90058,34.001617,-118.222274,5,49
0052-DCKON,Male,28,Yes,0,Los Angeles,90063,34.044271,-118.185237,9,66
0052-YNYOT,Female,28,No,0,Calexico,92231,32.690654,-115.431225,0,67
0056-EPFBG,Male,33,Yes,1,Redding,96003,40.677649,-122.29467,4,20
0057-QBUQH,Female,31,No,3,San Martin,95046,37.084697,-121.606417,0,43
0058-EVZWM,Female,37,Yes,0,Stockton,95209,38.044523,-121.348048,2,55
0060-FUALY,Female,60,Yes,0,Los Angeles,90003,33.964131,-118.272783,4,59
0064-SUDOG,Female,48,Yes,3,Huntington Park,90255,33.97803,-118.217141,3,12
0064-YIJGF,Male,60,Yes,3,Yermo,92398,35.013299,-116.834092,7,27
0067-DKWBL,Male,69,No,0,San Diego,92129,32.961064,-117.134917,0,2
0068-FIGTF,Female,20,No,0,Fremont,94539,37.516791,-121.899117,0,27
0071-NDAFP,Male,31,Yes,3,Santa Rosa,95405,38.439696,-122.668817,1,25
0074-HDKDG,Male,46,Yes,0,San Jose,95126,37.327069,-121.916819,5,25
0076-LVEPS,Male,57,No,1,Tujunga,91042,34.296574,-118.244839,0,29
0078-XZMHT,Male,19,Yes,0,Visalia,93291,36.391777,-119.372842,5,72
0080-EMYVY,Female,64,No,0,Lodi,95240,38.123544,-121.159078,0,14
0080-OROZO,Female,38,No,0,El Portal,95318,37.654551,-119.822984,0,35
0082-LDZUE,Male,54,No,0,Calistoga,94515,38.629618,-122.593216,0,1
0082-OQIQY,Male,50,No,0,Farmington,95230,37.956963,-120.863055,0,29
0083-PIVIK,Male,25,No,0,Tulelake,96134,41.813521,-121.492666,0,64
0089-IIQKO,Female,35,Yes,3,Coleville,96107,38.42528,-119.475741,1,39
0093-EXYQL,Female,72,No,0,Ojai,93023,34.581308,-118.931948,0,40
0093-XWZFY,Male,51,No,0,Desert Hot Springs,92241,33.832799,-116.250973,0,40
0094-OIFMO,Female,78,No,1,North Hollywood,91605,34.207295,-118.400022,0,11
0096-BXERS,Female,30,Yes,0,Inverness,94937,38.099323,-122.945723,10,6
0096-FCPUF,Male,58,No,0,Santa Rosa,95404,38.526941,-122.709096,0,30
0098-BOWSO,Male,26,No,0,San Jose,95131,37.387027,-121.897775,0,27
0100-DUVFC,Male,66,Yes,0,Wilmington,90744,33.782068,-118.262263,3,70
0103-CSITQ,Female,20,Yes,0,Modesto,95357,37.670526,-120.877572,10,57
0104-PPXDV,Male,61,Yes,0,San Diego,92113,32.697098,-117.116587,10,58
0106-GHRQR,Male,24,No,0,Rancho Palos Verdes,90275,33.753146,-118.367459,0,16
0106-UGRDO,Female,55,Yes,0,Kenwood,95452,38.419525,-122.521585,3,69
0107-WESLM,Male,32,No,0,West Point,95255,38.41935,-120.469545,0,1
0107-YHINA,Male,59,No,0,Los Angeles,90062,34.003553,-118.308933,0,1
0111-KLBQG,Male,71,Yes,1,Morongo Valley,92256,34.097863,-116.594561,9,32
0112-QAWRZ,Male,49,Yes,2,Palo Verde,92266,33.3249,-114.758334,8,16
0112-QWPNC,Male,61,Yes,0,Valyermo,93563,34.39583,-117.734568,1,49
0114-IGABW,Female,40,Yes,0,Cambria,93428,35.591387,-121.032256,2,71
0114-PEGZZ,Female,39,No,0,Round Mountain,96084,40.923558,-122.059933,0,33
0114-RSRRW,Female,21,Yes,0,Klamath,95548,41.572813,-124.035011,9,10
0115-TFERT,Male,24,Yes,0,Fresno,93650,36.841655,-119.797113,1,21
0117-LFRMW,Male,52,Yes,1,Angwin,94508,38.542448,-122.419923,1,37
0118-JPNOY,Female,71,No,0,Le Grand,95333,37.249377,-120.249581,0,26
0121-SNYRK,Male,45,No,0,Redway,95560,40.142256,-123.852927,0,50
0122-OAHPZ,Female,29,No,0,San Diego,92122,32.85723,-117.209774,0,7
0123-CRBRT,Female,62,Yes,0,Monterey Park,91755,34.049172,-118.115022,1,61
0125-LZQXK,Male,42,No,0,Big Oak Flat,95305,37.818589,-120.256995,0,15
0128-MKWSG,Female,51,No,2,Stevenson Ranch,91381,34.364153,-118.615583,0,26
0129-KPTWJ,Male,39,Yes,0,North Highlands,95660,38.671295,-121.388251,9,72
0129-QMPDR,Male,64,Yes,0,La Puente,91746,34.038983,-117.991372,1,44
0130-SXOUN,Male,55,No,0,Glenhaven,95443,39.045246,-122.743181,0,66
0133-BMFZO,Female,40,No,0,Alhambra,91803,34.074736,-118.145959,0,2
0134-XWXCE,Female,76,No,0,Santa Monica,90403,34.031529,-118.491156,0,44
0135-NMXAP,Female,57,No,0,Lodi,95240,38.123544,-121.159078,0,12
0136-IFMYD,Male,71,Yes,0,Los Angeles,90001,33.973616,-118.24902,1,69
0137-OCGAB,Female,25,No,0,Fairfield,94533,38.287136,-122.02711,0,1
0137-UDEUO,Female,24,No,0,Stockton,95204,37.974498,-121.319568,0,3
0139-IVFJG,Female,19,Yes,0,Temecula,92592,33.507255,-117.029473,10,2
0141-YEAYS,Female,77,No,0,Fallbrook,92028,33.362575,-117.299644,0,27
0142-GVYSN,Male,57,No,0,Randsburg,93554,35.405722,-117.773354,0,26
0147-ESWWR,Female,73,Yes,0,Atascadero,93422,35.453912,-120.69461,9,39
0148-DCDOS,Male,41,No,0,Planada,95365,37.329725,-120.306399,0,25
0151-ONTOV,Female,43,No,0,Moorpark,93021,34.312945,-118.858169,0,1
0156-FVPTA,Male,48,Yes,0,Solvang,93463,34.624399,-120.137875,1,22
0164-APGRB,Female,56,No,0,Calistoga,94515,38.629618,-122.593216,0,72
0164-XAIRP,Female,51,No,0,La Mirada,90638,33.902045,-118.008961,0,24
0168-XZKBB,Female,34,Yes,0,Boron,93516,34.95703,-117.73045,8,19
0174-QRVVY,Male,21,Yes,2,San Marcos,92078,33.119028,-117.166036,2,71
0177-PXBAT,Male,78,Yes,0,Desert Center,92239,33.889605,-115.257009,7,33
0178-CIIKR,Female,60,No,0,Crows Landing,95313,37.435664,-121.049056,0,3
0178-SZBHO,Male,54,Yes,1,Tuolumne,95379,37.939768,-120.188002,7,47
0181-RITDD,Male,42,Yes,3,San Diego,92120,32.807867,-117.060993,2,62
0186-CAERR,Male,22,No,0,Auburn,95603,38.912881,-121.082766,0,71
0187-QSXOE,Male,71,Yes,0,Fresno,93725,36.623632,-119.741322,8,7
0187-WZNAB,Female,56,Yes,2,Del Rey,93616,36.657462,-119.595293,6,27
0188-GWFLE,Male,33,No,0,Redwood City,94065,37.527497,-122.230941,0,2
0191-EQUUH,Female,32,No,3,Landers,92285,34.341737,-116.539416,0,25
0191-ZHSKZ,Male,80,No,0,Hawthorne,90250,33.914775,-118.348083,0,30
0193-ESZXP,Female,73,Yes,0,Oceano,93445,35.059695,-120.604741,1,58
0195-IESCP,Male,26,Yes,0,Armona,93202,36.315979,-119.710852,1,10
0196-JTUQI,Female,59,No,0,Clarksburg,95612,38.384648,-121.578701,0,9
0196-VULGZ,Female,78,Yes,0,Irvine,92620,33.716136,-117.752574,1,6
0197-PNKNK,Female,47,Yes,1,Scotts Valley,95066,37.070177,-122.010077,7,69
0201-MIBOL,Female,68,No,0,Salida,95368,37.713152,-121.08739,0,66
0201-OAMXR,Female,30,No,0,Mckinleyville,95519,40.965011,-124.015255,0,70
0203-HHYIJ,Male,62,No,0,Atherton,94027,37.454924,-122.203168,0,25
0206-OYVOC,Female,52,Yes,2,Huntington Beach,92649,33.721917,-118.043237,1,46
0206-TBWLC,Female,63,Yes,0,Calimesa,92320,33.982787,-117.057627,7,54
0207-MDKNV,Female,54,No,0,Daly City,94014,37.691561,-122.445202,0,15
0208-BPQEJ,Female,48,Yes,1,Middletown,95461,38.787446,-122.58675,0,12
0212-ISBBF,Female,51,No,0,Berkeley,94705,37.858898,-122.240512,0,22
0214-JHPFW,Female,22,Yes,0,Lost Hills,93249,35.637715,-119.893068,9,70
0215-BQKGS,Male,52,No,0,Garden Grove,92844,33.766476,-117.969795,0,30
0218-QNVAS,Male,22,Yes,1,Indio,92203,33.752938,-116.230055,1,71
0219-QAERP,Male,33,Yes,0,Oxnard,93033,34.156629,-119.117218,2,30
0219-YTZUE,Male,26,Yes,0,San Diego,92122,32.85723,-117.209774,5,4
0220-EBGCE,Male,58,No,0,Escondido,92027,33.141265,-116.967221,0,2
0221-NAUXK,Male,22,No,1,Moreno Valley,92553,33.923149,-117.244933,0,10
0221-WMXNQ,Male,66,No,0,Chino,91710,33.990646,-117.663025,0,4
0222-CNVPT,Male,69,No,0,Sacramento,95820,38.53508,-121.444144,0,52
0224-HJAPT,Male,25,No,0,San Diego,92117,32.825086,-117.199424,0,5
0224-NIJLP,Male,30,Yes,3,Turlock,95380,37.474396,-120.875917,1,8
0224-RLWWD,Female,73,No,0,Calexico,92231,32.690654,-115.431225,0,2
0225-ZORZP,Male,46,No,0,Groveland,95321,37.902968,-119.667544,0,3
0228-MAUWC,Male,40,No,0,Los Gatos,95033,37.160194,-121.945611,0,19
0229-LFJAF,Male,53,No,0,Clovis,93611,36.917652,-119.593757,0,72
0230-UBYPQ,Male,76,Yes,0,Hyampom,96046,40.648024,-123.465088,2,63
0230-WEQUW,Male,38,Yes,0,Woodland Hills,91364,34.153733,-118.593408,1,66
0231-LXVAP,Male,23,No,0,Temecula,92592,33.507255,-117.029473,0,1
0233-FTHAV,Female,24,No,0,Livingston,95334,37.361987,-120.748394,0,60
0234-TEVTT,Female,43,Yes,3,Tulare,93274,36.185471,-119.375243,3,48
0235-KGSLC,Female,45,No,0,Buellton,93427,34.631362,-120.238218,0,1
0236-HFWSV,Male,49,No,0,Palmdale,93552,34.557711,-118.029441,0,15
0237-YFUTL,Female,62,Yes,0,Midway City,92655,33.744439,-117.98588,4,50
0238-WHBIQ,Male,25,Yes,1,Folsom,95630,38.672638,-121.147403,10,72
0239-OXEXL,Female,37,No,0,Oakland,94619,37.787186,-122.14633,0,46
0244-LGNFY,Female,35,Yes,1,San Anselmo,94960,37.99272,-122.575026,4,72
0247-SLUJI,Male,37,Yes,3,Duarte,91010,34.145695,-117.95982,2,1
0248-IPDFW,Female,19,No,0,Lake Elsinore,92530,33.655421,-117.391751,0,1
0248-PGHBZ,Female,69,No,0,San Clemente,92672,33.429488,-117.609432,0,67
0253-ZTEOB,Female,44,Yes,1,Los Angeles,90004,34.076259,-118.310715,5,48
0254-FNMCI,Female,19,No,0,Downey,90241,33.940884,-118.128628,0,72
0254-KCJGT,Male,64,Yes,0,Bodega Bay,94923,38.377165,-123.037957,6,52
0254-WWRKD,Female,44,Yes,3,Challenge,95925,39.461768,-121.195825,1,67
0256-LTHVJ,Female,58,Yes,0,Ludlow,92338,34.702766,-116.093376,1,28
0257-KXZGU,Female,29,Yes,1,Santa Clara,95051,37.348129,-121.98469,9,32
0257-ZESQC,Female,80,Yes,0,Perris,92571,33.828289,-117.201666,2,27
0258-NOKBL,Male,22,No,0,Fortuna,95540,40.584991,-124.121504,0,3
0259-GBZSH,Male,22,No,0,San Diego,92122,32.85723,-117.209774,0,2
0260-ZDLGK,Female,50,No,2,San Dimas,91773,34.102119,-117.815532,0,9
0263-FJTQO,Male,53,Yes,2,Rescue,95672,38.724322,-120.991237,10,50
0264-CNITK,Female,45,Yes,2,Clio,96106,39.745805,-120.580882,1,71
0265-EDXBD,Male,76,Yes,0,San Diego,92122,32.85723,-117.209774,2,32
0265-PSUAE,Female,57,Yes,3,Lotus,95651,38.815515,-120.916997,10,16
0266-CLZKZ,Female,45,Yes,3,San Marcos,92078,33.119028,-117.166036,8,67
0266-GMEAO,Male,43,Yes,1,Lompoc,93436,34.601055,-120.382917,1,72
0268-QKIWO,Female,41,No,0,Pilot Hill,95664,38.803731,-121.043799,0,3
0269-XFESX,Male,22,Yes,3,San Francisco,94133,37.802071,-122.411004,1,23
0270-THENM,Male,62,Yes,2,Mission Hills,91345,34.266389,-118.459744,1,72
0274-JKUJR,Male,21,Yes,2,Los Angeles,90040,33.994524,-118.149953,9,7
0277-BKSQP,Male,49,Yes,3,Harbor City,90710,33.798266,-118.300237,10,8
0277-ORXQS,Male,33,Yes,4,San Francisco,94108,37.791998,-122.408653,9,66
0278-YXOOG,Male,30,No,0,Inglewood,90301,33.956445,-118.358634,0,5
0280-XJGEX,Male,38,No,1,Los Angeles,90015,34.039224,-118.266293,0,49
0281-CNTZX,Male,56,Yes,0,Pescadero,94060,37.22565,-122.297533,2,63
0282-NVSJS,Female,70,Yes,1,Aromas,95004,36.878364,-121.629781,1,12
0285-INHLN,Male,54,Yes,6,Badger,93603,36.64545,-118.924982,5,27
0289-IVARM,Female,57,No,0,Parlier,93648,36.622237,-119.521126,0,35
0292-WEGCH,Female,40,Yes,2,Death Valley,92328,36.27688,-117.033326,7,54
0295-PPHDO,Male,56,No,0,La Puente,91744,34.031441,-117.936436,0,1
0295-QVKPB,Male,38,No,0,Riverdale,93656,36.452211,-119.94575,0,5
0297-RBCSG,Male,61,No,0,San Francisco,94104,37.791222,-122.402241,0,19
0298-XACET,Male,35,Yes,2,Berry Creek,95916,39.657228,-121.37778,1,52
0301-FIDRB,Female,61,Yes,3,Fulton,95439,38.493888,-122.777141,8,72
0301-KOBTQ,Male,50,No,0,Capitola,95010,36.977025,-121.952864,0,32
0302-JOIVN,Female,47,Yes,0,San Diego,92109,32.787836,-117.232376,1,8
0303-UNCIP,Male,35,No,0,Claremont,91711,34.127621,-117.717863,0,41
0303-WMMRN,Male,32,No,0,Glendale,91207,34.182378,-118.262922,0,5
0305-SQECB,Female,54,No,1,Gardena,90248,33.876482,-118.284077,0,11
0306-JAELE,Male,61,No,0,Fallbrook,92028,33.362575,-117.299644,0,5
0307-BCOPK,Female,62,No,0,San Francisco,94134,37.721052,-122.413573,0,16
0308-GIQJT,Male,80,No,0,San Diego,92126,32.886925,-117.152162,0,71
0308-IVGOK,Female,23,No,0,Santa Ana,92703,33.748635,-117.906125,0,11
0310-MVLET,Female,63,Yes,0,Snelling,95369,37.521708,-120.426843,1,61
0310-SUCIN,Female,50,Yes,0,Darwin,93522,36.319181,-117.593053,2,71
0310-VQXAM,Male,56,No,0,San Bernardino,92404,34.183286,-117.221722,0,9
0311-QYWSS,Female,63,No,0,Garberville,95542,40.057784,-123.679461,0,6
0311-UNPFF,Female,58,No,0,Long Beach,90807,33.830099,-118.182239,0,26
0314-TKOSI,Female,29,No,0,Upland,91784,34.141146,-117.655583,0,6
0315-LVCRK,Male,54,No,0,El Dorado Hills,95762,38.684437,-121.055634,0,11
0318-QUUOB,Male,25,Yes,0,Santa Rosa,95403,38.488431,-122.752839,1,1
0318-ZOPWS,Female,31,Yes,0,Malibu,90265,34.074572,-118.831181,10,49
0319-QZTCO,Female,25,Yes,2,Santa Rosa,95401,38.460517,-122.790335,9,3
0320-DWVTU,Female,46,No,0,Riverdale,93656,36.452211,-119.94575,0,53
0320-JDNQG,Male,28,Yes,0,Oxnard,93035,34.18454,-119.224666,1,23
0322-CHQRU,Male,63,No,0,Palmdale,93591,34.598221,-117.79593,0,2
0322-YINQP,Male,37,No,0,Covina,91723,34.084747,-117.886844,0,1
0323-XWWTN,Male,44,No,1,San Lucas,93954,36.125529,-120.864443,0,3
0324-BRPCJ,Female,74,Yes,0,Palmdale,93591,34.598221,-117.79593,1,68
0325-XBFAC,Male,44,No,0,Hoopa,95546,41.163637,-123.704841,0,8
0326-VDYXE,Female,21,Yes,0,Long Beach,90802,33.752524,-118.210737,9,70
0327-WFZSY,Male,62,Yes,3,Samoa,95564,40.809636,-124.189977,9,39
0328-GRPMV,Female,43,No,0,Burnt Ranch,95527,40.854512,-123.450097,0,1
0329-GTIAJ,Female,40,No,0,Garden Grove,92844,33.766476,-117.969795,0,3
0330-BGYZE,Male,48,Yes,0,Milford,96121,40.181279,-120.392967,8,60
0330-IVZHA,Female,55,Yes,0,Anderson,96007,40.448632,-122.306657,1,5
0334-GDDSO,Male,77,No,0,San Diego,92122,32.85723,-117.209774,0,3
0334-ZFJSR,Female,41,Yes,0,San Diego,92123,32.808814,-117.134694,0,55
0336-KXKFK,Male,43,No,0,Santa Margarita,93453,35.303926,-120.256567,0,72
0336-PIKEI,Male,69,Yes,0,Orange,92869,33.792791,-117.789749,7,72
0337-CNPZE,Female,63,No,0,Los Angeles,90033,34.050198,-118.210946,0,41
0343-QLUZP,Male,38,No,0,San Jose,95111,37.284265,-121.827673,0,60
0345-HKJVM,Female,43,No,0,San Diego,92109,32.787836,-117.232376,0,6
0345-XMMUG,Female,29,Yes,0,Ione,95640,38.33788,-120.954202,6,46
0347-UBKUZ,Female,46,No,0,San Mateo,94404,37.556094,-122.272437,0,15
0348-SDKOL,Female,33,Yes,0,San Diego,92117,32.825086,-117.199424,1,58
0354-VXMJC,Male,60,Yes,3,Los Angeles,90034,34.030578,-118.399613,10,23
0354-WYROK,Female,70,Yes,0,San Francisco,94130,37.820894,-122.369725,1,31
0356-ERHVT,Male,54,Yes,0,Santa Cruz,95062,36.974575,-121.991149,1,11
0356-OBMAC,Female,80,No,0,Winchester,92596,33.657433,-117.04254,0,56
0357-NVCRI,Female,41,No,3,El Cajon,92021,32.832706,-116.873258,0,25
0361-HJRDX,Female,38,No,0,Sherman Oaks,91403,34.147149,-118.463365,0,68
0362-RAOQO,Female,48,No,0,Norco,92860,33.925833,-117.559639,0,40
0362-ZBZWJ,Male,46,No,0,Thornton,95686,38.157794,-121.520223,0,36
0363-QJVFX,Male,22,No,0,Lake Hughes,93532,34.659579,-118.584212,0,32
0363-SVHYR,Male,28,Yes,3,Paramount,90723,33.897122,-118.164432,10,71
0365-BZUWY,Male,58,Yes,0,San Juan Capistrano,92675,33.521447,-117.602555,2,17
0365-GXEZS,Male,55,Yes,0,Copperopolis,95228,37.943954,-120.67108,6,18
0365-TRTPY,Female,52,No,0,Covina,91724,34.08111,-117.853935,0,37
0366-NQSHS,Male,42,No,0,Colusa,95932,39.273096,-122.050763,0,2
0369-ZGOVK,Female,56,Yes,2,Cypress,90630,33.818477,-118.038307,6,28
0373-AIVNJ,Male,34,No,0,Sacramento,95814,38.584505,-121.491956,0,9
0374-AACSZ,Female,63,No,0,Lancaster,93534,34.727529,-118.153098,0,1
0374-FIUCA,Male,59,Yes,0,Orange,92867,33.81859,-117.821288,1,65
0374-IOEGQ,Female,62,No,0,Gonzales,93926,36.52588,-121.396719,0,3
0375-HVGXO,Female,31,No,0,Los Angeles,90045,33.954017,-118.402447,0,1
0376-OIWME,Male,24,Yes,0,San Ysidro,92173,32.555828,-117.040073,3,36
0376-YMCJC,Male,21,No,0,Novato,94949,38.067204,-122.524004,0,23
0377-JBKKT,Male,21,Yes,3,Gilroy,95020,37.03889,-121.528955,9,22
0378-CJKPV,Female,56,Yes,0,Oak Park,91377,34.19225,-118.776874,1,72
0378-NHQXU,Female,31,Yes,0,South San Francisco,94080,37.654436,-122.426468,7,17
0378-TOVMS,Female,20,No,0,Vernalis,95385,37.609095,-121.263381,0,3
0378-XSZPU,Male,31,Yes,0,San Jose,95117,37.311088,-121.961786,1,58
0379-DJQHR,Male,60,Yes,0,Sunnyvale,94089,37.421633,-122.009613,1,67
0380-NEAVX,Male,72,No,0,Newport Beach,92660,33.634626,-117.874882,0,34
0380-ZCSBI,Male,56,No,0,San Francisco,94133,37.802071,-122.411004,0,10
0383-CLDDA,Female,42,No,0,Stanford,94305,37.424342,-122.165641,0,69
0384-LPITE,Male,38,No,0,Los Angeles,90041,34.137412,-118.207607,0,40
0384-RVBPI,Male,64,No,0,Turlock,95380,37.474396,-120.875917,0,20
0386-CWRGM,Female,61,Yes,1,Beverly Hills,90210,34.099891,-118.414338,9,46
0388-EOPEX,Female,28,Yes,0,Riverside,92503,33.890046,-117.455583,1,2
0390-DCFDQ,Female,76,Yes,2,Los Alamitos,90720,33.79499,-118.065591,1,1
0392-BZIUW,Female,44,Yes,0,Fresno,93710,36.822715,-119.761826,7,72
0394-YONDK,Male,28,Yes,3,Escondido,92025,33.081478,-117.033814,0,70
0396-HUJBP,Female,34,No,0,Gardena,90247,33.890853,-118.297967,0,2
0396-UKGAI,Male,25,No,3,Encinitas,92024,33.054579,-117.25665,0,23
0396-YCHWO,Male,58,Yes,0,Sacramento,95829,38.486502,-121.334051,4,36
0397-GZBBC,Male,70,Yes,0,South Dos Palos,93665,36.959731,-120.653519,0,59
0397-ZXWQF,Male,24,No,0,Orick,95555,41.336354,-124.044354,0,67
0401-WDBXM,Male,22,Yes,3,San Jose,95118,37.255479,-121.889838,4,72
0402-CQAJN,Female,22,No,0,El Monte,91732,34.074492,-118.01462,0,37
0402-OAMEN,Female,36,Yes,1,Spreckels,93962,36.624641,-121.647195,4,72
0404-AHASP,Male,23,Yes,0,Beverly Hills,90212,34.062095,-118.401508,10,72
0404-SWRVG,Male,21,No,2,La Habra,90631,33.940619,-117.9513,0,3
0406-BPDVR,Female,75,Yes,0,Visalia,93277,36.303793,-119.375646,0,54
0407-BDJKB,Male,59,Yes,0,San Francisco,94114,37.758085,-122.434801,1,60
0409-WTMPL,Female,35,Yes,0,Whittier,90602,33.972119,-118.020188,8,58
0410-IPFTY,Female,64,Yes,0,Long Beach,90822,33.778436,-118.118648,1,31
0411-EZJZE,Female,62,No,0,Stockton,95215,37.946282,-121.139499,0,3
0412-UCCNP,Male,20,No,0,Essex,92332,34.9436,-115.287901,0,55
0415-MOSGF,Female,58,No,0,Los Gatos,95030,37.222842,-121.988727,0,1
0419-YAAPX,Male,44,Yes,0,Grass Valley,95949,39.099204,-121.137962,1,49
0420-BWTPW,Male,40,No,0,San Diego,92117,32.825086,-117.199424,0,8
0420-HLGXF,Female,72,No,0,Visalia,93291,36.391777,-119.372842,0,39
0420-TXVSG,Male,43,Yes,0,San Jose,95112,37.343827,-121.883119,9,66
0422-OHQHQ,Female,23,Yes,0,Fresno,93722,36.78979,-119.929894,7,15
0422-UXFAP,Female,34,Yes,0,San Diego,92117,32.825086,-117.199424,1,51
0423-UDIJQ,Male,74,No,0,Snelling,95369,37.521708,-120.426843,0,9
0426-TIRNE,Female,54,No,0,Encino,91316,34.150354,-118.518292,0,1
0428-AXXLJ,Male,29,No,0,Bellflower,90706,33.887676,-118.127289,0,25
0428-IKYCP,Male,56,Yes,0,Sonora,95370,37.982716,-120.343732,9,22
